,column,score
303,provision_nurse,0.025
298,rent_price_3room_eco,0.02
54,0_13_female,0.02
64,industrial_km,0.02
72,railroad_station_avto_min,0.02
307,bandwidth_sports,0.02
225,mosque_count_3000,0.02
229,green_part_5000,0.02
17,culture_objects_top_25_raion,0.02
274,deposits_rate,0.02
37,ekder_all,0.02
286,unemployment,0.02
284,retail_trade_turnover_growth,0.02
128,trc_sqm_500,0.02
133,cafe_count_500_price_1500,0.02
135,cafe_count_500_price_4000,0.02
130,cafe_count_500_na_price,0.02
271,micex_cbi_tr,0.015
220,cafe_count_3000_price_2500,0.015
233,trc_count_5000,0.015
282,retail_trade_turnover,0.015
49,16_29_all,0.015
50,16_29_male,0.015
147,trc_count_1000,0.015
98,thermal_power_plant_km,0.015
45,7_14_female,0.015
118,mosque_km,0.015
283,retail_trade_turnover_per_cap,0.01
245,cafe_count_5000_price_high,0.01
241,cafe_count_5000_price_1000,0.01
265,gdp_annual_growth,0.01
287,employment,0.01
255,cpi,0.01
213,cafe_sum_3000_min_price_avg,0.01
9,children_school,0.01
315,big_church_count_calibration,0.01
116,big_church_km,0.01
106,basketball_km,0.01
256,ppi,0.01
47,0_17_male,0.01
204,sport_count_2000,0.01
215,cafe_avg_price_3000,0.01
285,labor_force,0.005
90,zd_vokzaly_avto_km,0.005
115,preschool_km,0.005
296,rent_price_2room_bus,0.005
96,radiation_km,0.005
293,average_life_exp,0.005
279,salary,0.005
154,cafe_count_1000_price_2500,0.005
306,seats_theather_rfmin_per_100000_cap,0.005
155,cafe_count_1000_price_4000,0.005
193,cafe_count_2000_na_price,0.005
46,0_17_all,0.005
270,micex_rgbi_tr,0.005
223,big_church_count_3000,0.005
319,sport_count_calibration,0.005
221,cafe_count_3000_price_4000,0.005
208,office_count_3000,0.005
292,mortality,0.005
33,young_female,0.0
32,young_male,0.0
36,work_female,0.0
31,young_all,0.0
129,cafe_count_500,0.0
212,cafe_count_3000,0.0
40,0_6_all,0.0
312,cafe_count_calibration,0.0
52,0_13_all,0.0
53,0_13_male,0.0
48,0_17_female,0.0
61,school_km,0.0
62,park_km,0.0
316,church_count_calibration,0.0
314,trc_count_calibration,0.0
313,office_count_calibration,0.0
44,7_14_male,0.0
42,0_6_female,0.0
308,apartment_fund_sqm,0.0
79,ttk_km,0.0
80,sadovoe_km,0.0
304,load_on_doctors,0.0
81,bulvar_ring_km,0.0
302,students_state_oneshift,0.0
131,cafe_count_500_price_500,0.0
43,7_14_all,0.0
82,kremlin_km,0.0
152,cafe_count_1000_price_1000,0.0
134,cafe_count_500_price_2500,0.0
196,cafe_count_2000_price_1500,0.0
240,cafe_count_5000_price_500,0.0
239,cafe_count_5000_na_price,0.0
185,office_count_2000,0.0
189,cafe_count_2000,0.0
235,cafe_count_5000,0.0
194,cafe_count_2000_price_500,0.0
232,office_sqm_5000,0.0
231,office_count_5000,0.0
195,cafe_count_2000_price_1000,0.0
197,cafe_count_2000_price_2500,0.0
243,cafe_count_5000_price_2500,0.0
227,sport_count_3000,0.0
226,leisure_count_3000,0.0
198,cafe_count_2000_price_4000,0.0
224,church_count_3000,0.0
200,big_church_count_2000,0.0
201,church_count_2000,0.0
219,cafe_count_3000_price_1500,0.0
209,office_sqm_3000,0.0
210,trc_count_3000,0.0
242,cafe_count_5000_price_1500,0.0
244,cafe_count_5000_price_4000,0.0
7,children_preschool,0.0
170,cafe_count_1500_na_price,0.0
145,office_count_1000,0.0
149,cafe_count_1000,0.0
150,cafe_count_1000_na_price,0.0
151,cafe_count_1000_price_500,0.0
153,cafe_count_1000_price_1500,0.0
158,church_count_1000,0.0
262,brent,0.0
165,office_count_1500,0.0
169,cafe_count_1500,0.0
171,cafe_count_1500_price_500,0.0
178,church_count_1500,0.0
172,cafe_count_1500_price_1000,0.0
173,cafe_count_1500_price_1500,0.0
174,cafe_count_1500_price_2500,0.0
252,oil_urals,0.0
175,cafe_count_1500_price_4000,0.0
250,sport_count_5000,0.0
249,leisure_count_5000,0.0
19,office_raion,0.0
177,big_church_count_1500,0.0
324,count_all,0.0
