column,score
sport_count_1000,0.14877548
leisure_count_3000,0.147956269
sub_area_code,0.147579918
trc_sqm_1000,0.145878491
cafe_count_1000_price_500,0.144378383
church_count_1500,0.136079645
church_count_2000,0.133990849
cafe_count_1500_na_price,0.130960094
additional_education_raion,0.130136023
prom_part_1500,0.130065215
big_church_count_2000,0.128493855
market_count_3000,0.127534761
green_part_500,0.125639333
office_sqm_1000,0.125562122
cafe_count_3000_price_4000,0.125481603
trc_count_1000,0.125441357
office_count_1000,0.123604494
cafe_count_1000_price_2500,0.122803974
cafe_count_500,0.12241179
cafe_count_5000_price_high,0.12198122
prom_part_1000,0.116037102
ID_railroad_terminal,0.111632269
leisure_count_2000,0.111074836
big_church_count_1500,0.110498981
cafe_count_1000_na_price,0.103550132
office_sqm_500,0.102224724
office_count_500,0.09913715
cafe_count_500_price_1000,0.097870833
cafe_count_2000_price_4000,0.097599361
cafe_count_3000_price_high,0.096706974
cafe_count_500_price_1500,0.096102651
church_count_1000,0.092601742
church_count_calibration,0.092186369
cafe_count_1500_price_4000,0.091422474
healthcare_centers_raion,0.088489258
big_church_count_1000,0.087585095
cafe_count_500_price_500,0.087461473
oil_urals,0.086787453
leisure_count_1500,0.086668255
prom_part_500,0.085875694
cafe_count_500_price_2500,0.084999685
cafe_count_2000_price_high,0.083340163
mortgage_value,0.081529276
gdp_annual_growth,0.081077715
rent_price_4+room_bus,0.080874376
balance_trade,0.08038013
rent_price_2room_bus,0.080346975
trc_count_500,0.080262042
mortgage_rate,0.080219943
deposits_rate,0.07983102
micex_cbi_tr,0.078739736
sport_count_500,0.078150837
cpi,0.078148865
gdp_quart,0.07809371
salary_growth,0.077898532
price_doc,0.077666627
trc_sqm_500,0.076803681
gdp_deflator,0.076640611
gdp_quart_growth,0.076389041
average_provision_of_build_contract,0.076223386
average_life_exp,0.075588936
brent,0.075587789
leisure_count_1000,0.075406781
rent_price_3room_bus,0.074945566
rent_price_3room_eco,0.074526967
income_per_cap,0.073997484
deposits_value,0.073580538
rent_price_1room_bus,0.073556501
cafe_count_1000_price_4000,0.073197683
deposits_growth,0.071339583
rent_price_2room_eco,0.071100594
cafe_count_1500_price_high,0.068059221
seats_theather_rfmin_per_100000_cap,0.067627766
mortgage_growth,0.067136936
floor,0.063954807
market_count_2000,0.063502492
retail_trade_turnover,0.062565822
cafe_count_500_na_price,0.062178498
rent_price_1room_eco,0.062006105
invest_fixed_capital_per_cap,0.061147524
load_of_teachers_school_per_teacher,0.061078557
church_count_500,0.060755385
ppi,0.060256499
turnover_catering_per_cap,0.060032381
invest_fixed_assets,0.059916642
unemployment,0.059726011
mosque_count_5000,0.059701876
retail_trade_turnover_growth,0.059074256
load_on_doctors,0.058145401
mosque_count_3000,0.057769487
net_capital_export,0.057504825
employment,0.05730887
mortality,0.056843664
big_church_count_500,0.056623041
labor_force,0.054641513
bandwidth_sports,0.05442384
fixed_basket,0.053995265
culture_objects_top_25_raion,0.053322205
gdp_annual,0.05268866
provision_nurse,0.052048199
retail_trade_turnover_per_cap,0.051731341
salary,0.051576105
students_state_oneshift,0.051403406
childbirth,0.050821345
university_top_20_raion,0.049702404
cafe_count_500_price_4000,0.049387679
ecology_code,0.04405427
balance_trade_growth,0.042997959
market_count_1500,0.041019982
cafe_count_1000_price_high,0.040841851
usdrub,0.035481471
cafe_count_500_price_high,0.033561179
micex_rgbi_tr,0.032563645
micex,0.032143751
railroad_terminal_raion,0.02928837
market_count_1000,0.027370957
eurrub,0.026858696
radiation_raion,0.026820878
average_provision_of_build_contract_moscow,0.026335346
market_count_500,0.022235245
culture_objects_top_25,0.021331754
pop_natural_increase,0.020391051
mosque_count_2000,0.019447834
mosque_count_1500,0.018738523
rts,0.015961421
big_road1_1line,0.01261567
school_education_centers_top_20_raion,0.01216193
leisure_count_500,0.009479521
mosque_count_1000,0.008665215
detention_facility_raion,0.008207986
incineration_raion,0.007193603
thermal_power_plant_raion,0.003878278
water_1line,0.003260243
big_market_raion,0.001256857
railroad_1line,0
oil_chemistry_raion,0
nuclear_reactor_raion,0
mosque_count_500,0
